"","num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
"1",1,1000,30,30.5,1,1,1
"2",5,200,21,62.5,1,2,1
"3",2,500,16,20.5,2,1,1
"4",153,6.5359477124183,10,28,2,2,1
"5",0,Inf,NA,NA,3,1,1
"6",24,41.6666666666667,16,25,3,2,1
"7",0,Inf,NA,NA,4,1,1
"8",1,1000,17,18,4,2,1
"9",1,1000,40,43.5,5,1,1
"10",2,500,24,33,5,2,1
"11",1,1000,27,27,1,1,2
"12",9,111.111111111111,19,46,1,2,2
"13",6,166.666666666667,15,23,2,1,2
"14",142,7.04225352112676,10,28,2,2,2
"15",1,1000,59,60.5,3,1,2
"16",12,83.3333333333333,13,25,3,2,2
"17",0,Inf,NA,NA,4,1,2
"18",4,250,16,22,4,2,2
"19",0,Inf,NA,NA,5,1,2
"20",4,250,23,35,5,2,2
"21",1,1000,34,41,1,1,3
"22",4,250,19,45,1,2,3
"23",6,166.666666666667,15,22,2,1,3
"24",150,6.66666666666667,10,28,2,2,3
"25",0,Inf,NA,NA,3,1,3
"26",14,71.4285714285714,14,27,3,2,3
"27",0,Inf,NA,NA,4,1,3
"28",0,Inf,NA,NA,4,2,3
"29",0,Inf,NA,NA,5,1,3
"30",2,500,34,40,5,2,3
"31",2,500,46,66.5,1,1,4
"32",2,500,21,42,1,2,4
"33",7,142.857142857143,16,20,2,1,4
"34",164,6.09756097560976,11,29,2,2,4
"35",1,1000,24,26.5,3,1,4
"36",27,37.037037037037,15,27,3,2,4
"37",0,Inf,NA,NA,4,1,4
"38",1,1000,16,22,4,2,4
"39",0,Inf,NA,NA,5,1,4
"40",0,Inf,NA,NA,5,2,4
"41",1,1000,44,44,1,1,5
"42",3,333.333333333333,31,48,1,2,5
"43",8,125,15,21,2,1,5
"44",146,6.84931506849315,12,29,2,2,5
"45",0,Inf,NA,NA,3,1,5
"46",15,66.6666666666667,15,29,3,2,5
"47",0,Inf,NA,NA,4,1,5
"48",0,Inf,NA,NA,4,2,5
"49",0,Inf,NA,NA,5,1,5
"50",1,1000,32,32,5,2,5
"51",3,333.333333333333,27,33,1,1,6
"52",3,333.333333333333,21,33,1,2,6
"53",4,250,13,21,2,1,6
"54",153,6.5359477124183,10,29,2,2,6
"55",1,1000,38,40,3,1,6
"56",19,52.6315789473684,17,24,3,2,6
"57",0,Inf,NA,NA,4,1,6
"58",1,1000,18,23,4,2,6
"59",0,Inf,NA,NA,5,1,6
"60",2,500,35,39.5,5,2,6
"61",0,Inf,NA,NA,1,1,7
"62",4,250,20,38,1,2,7
"63",6,166.666666666667,16,26,2,1,7
"64",152,6.57894736842105,11,27,2,2,7
"65",0,Inf,NA,NA,3,1,7
"66",18,55.5555555555556,18,26,3,2,7
"67",0,Inf,NA,NA,4,1,7
"68",5,200,13,21,4,2,7
"69",0,Inf,NA,NA,5,1,7
"70",0,Inf,NA,NA,5,2,7
"71",2,500,22,34,1,1,8
"72",5,200,24,38.5,1,2,8
"73",2,500,15,25,2,1,8
"74",162,6.17283950617284,10,28,2,2,8
"75",1,1000,41,44.5,3,1,8
"76",18,55.5555555555556,17,24,3,2,8
"77",0,Inf,NA,NA,4,1,8
"78",3,333.333333333333,14,22,4,2,8
"79",0,Inf,NA,NA,5,1,8
"80",1,1000,30,32,5,2,8
"81",1,1000,33,35.5,1,1,9
"82",2,500,33,37,1,2,9
"83",7,142.857142857143,16,20,2,1,9
"84",152,6.57894736842105,11,29,2,2,9
"85",1,1000,31,31,3,1,9
"86",17,58.8235294117647,15,27,3,2,9
"87",0,Inf,NA,NA,4,1,9
"88",2,500,17,19,4,2,9
"89",0,Inf,NA,NA,5,1,9
"90",3,333.333333333333,32,41,5,2,9
"91",2,500,22,24,1,1,10
"92",2,500,29,60.5,1,2,10
"93",3,333.333333333333,19,24.5,2,1,10
"94",155,6.45161290322581,11,30,2,2,10
"95",0,Inf,NA,NA,3,1,10
"96",9,111.111111111111,17,25,3,2,10
"97",0,Inf,NA,NA,4,1,10
"98",3,333.333333333333,18,22.5,4,2,10
"99",1,1000,34,34.5,5,1,10
"100",3,333.333333333333,27,38.5,5,2,10
"101",1,1000,22,26.5,1,1,11
"102",2,500,27,30.5,1,2,11
"103",3,333.333333333333,15,19,2,1,11
"104",152,6.57894736842105,12,30,2,2,11
"105",0,Inf,NA,NA,3,1,11
"106",19,52.6315789473684,16,28,3,2,11
"107",0,Inf,NA,NA,4,1,11
"108",2,500,19,20,4,2,11
"109",0,Inf,NA,NA,5,1,11
"110",0,Inf,NA,NA,5,2,11
"111",0,Inf,NA,NA,1,1,12
"112",3,333.333333333333,20,30,1,2,12
"113",6,166.666666666667,13,24,2,1,12
"114",156,6.41025641025641,10,30,2,2,12
"115",0,Inf,NA,NA,3,1,12
"116",17,58.8235294117647,13,25,3,2,12
"117",0,Inf,NA,NA,4,1,12
"118",3,333.333333333333,17,23.5,4,2,12
"119",0,Inf,NA,NA,5,1,12
"120",2,500,30,47,5,2,12
"121",2,500,30,36.5,1,1,13
"122",2,500,21,30.5,1,2,13
"123",2,500,20,27,2,1,13
"124",146,6.84931506849315,12,30,2,2,13
"125",1,1000,22,23,3,1,13
"126",15,66.6666666666667,18,26,3,2,13
"127",0,Inf,NA,NA,4,1,13
"128",3,333.333333333333,13,20,4,2,13
"129",0,Inf,NA,NA,5,1,13
"130",1,1000,41,43,5,2,13
"131",0,Inf,NA,NA,1,1,14
"132",3,333.333333333333,31,40,1,2,14
"133",5,200,16,23.5,2,1,14
"134",163,6.13496932515337,12,30,2,2,14
"135",0,Inf,NA,NA,3,1,14
"136",24,41.6666666666667,13,24,3,2,14
"137",0,Inf,NA,NA,4,1,14
"138",4,250,17,19.5,4,2,14
"139",0,Inf,NA,NA,5,1,14
"140",2,500,29,35.5,5,2,14
"141",0,Inf,NA,NA,1,1,15
"142",3,333.333333333333,21,31,1,2,15
"143",3,333.333333333333,16,21,2,1,15
"144",137,7.2992700729927,12,28,2,2,15
"145",0,Inf,NA,NA,3,1,15
"146",21,47.6190476190476,16,23,3,2,15
"147",0,Inf,NA,NA,4,1,15
