"Species_23","canopy","mu.prop_dead","mu.prop_missing","mu.prop_alive","mu.prop_break","mu.break"
"ACERUB","1",0.236206918800577,0.0591353718195143,0.704657709379909,0.0131577218250631,-5.08863636363636
"ACERUB","2",0.18036439115795,0.0432454532265935,0.776390155615457,0.0186154408541793,-6.1625
"BETSP","1",0.352850912615086,0.0468152694771981,0.600333817907716,0.0356487148102815,-9.75
"BETSP","2",0.180706075533662,0.0181444991789819,0.801149425287356,0.0484835164835165,-8.79166666666667
"PINSTR","1",0.157142857142857,0,0.842857142857143,0.041958041958042,-5.25
"PINSTR","2",0.0625,0.0208333333333333,0.916666666666667,0.0227272727272727,-9
"QUERUB","1",0.294536033914272,0.0629533678756477,0.64251059821008,0.0975765306122449,-6.72777777777778
"QUERUB","2",0.297885572139304,0.0138888888888889,0.688225538971808,0.117592592592593,-4.975
"TSUCAN","1",0.325656352555087,0.0410513361462729,0.63329231129864,0.0482148306377785,-8.94642857142857
"TSUCAN","2",0.26784755770263,0.0619967793880837,0.670155662909286,0.0949788263762855,-6.9
