"Species_23","canopy","prop_dead","prop_missing","prop_alive","prop_break","avg_break","sd_break","n_break","count","year"
"ACERUB","1",0.170961659333752,0.0226272784412319,0.806411062225016,0.0078125,-4.95,1.65747465206024,10,1591,"21-22"
"ACERUB","2",0.119871279163315,0.0209171359613838,0.859211584875302,0.0188146754468485,-5.175,2.64711859237649,20,1243,"21-22"
"BETSP","1",0.341463414634146,0.040650406504065,0.617886178861789,0.0131578947368421,-11.5,NA,1,123,"21-22"
"BETSP","2",0.114285714285714,0.019047619047619,0.866666666666667,0.032967032967033,-9.08333333333333,5.14214611486942,6,210,"21-22"
"PINSTR","1",0.1,0,0.9,0.0384615384615385,-7,NA,1,30,"21-22"
"PINSTR","2",0,0,1,0.0454545454545455,-9,NA,1,22,"21-22"
"QUERUB","1",0.207253886010363,0.0259067357512953,0.766839378238342,0.0612244897959184,-7.22222222222222,3.37371374666619,9,193,"21-22"
"QUERUB","2",0.17910447761194,0,0.82089552238806,0.185185185185185,-7.45,8.56819052594472,10,67,"21-22"
"TSUCAN","1",0.253164556962025,0.0126582278481013,0.734177215189873,0.0344827586206897,-13.25,15.1079449297381,4,158,"21-22"
"TSUCAN","2",0.253086419753086,0.037037037037037,0.709876543209877,0.0175438596491228,-4.75,3.18198051533946,2,162,"21-22"
"ACERUB","1",0.301452178267401,0.0956434651977967,0.602904356534802,0.0185029436501262,-5.22727272727273,4.47407152572643,23,1997,"22-23"
"ACERUB","2",0.240857503152585,0.0655737704918033,0.693568726355612,0.0184162062615101,-7.15,2.58252675580418,7,793,"22-23"
"BETSP","1",0.364238410596026,0.0529801324503311,0.582781456953642,0.0581395348837209,-8,4.43001128666734,1,151,"22-23"
"BETSP","2",0.247126436781609,0.0172413793103448,0.735632183908046,0.064,-8.5,6.79285338741071,6,174,"22-23"
"PINSTR","1",0.214285714285714,0,0.785714285714286,0.0454545454545455,-3.5,NA,2,28,"22-23"
"PINSTR","2",0.125,0.0416666666666667,0.833333333333333,0,NA,NA,0,24,"22-23"
"QUERUB","1",0.381818181818182,0.1,0.518181818181818,0.133928571428571,-6.23333333333333,3.62465105052821,18,220,"22-23"
"QUERUB","2",0.416666666666667,0.0277777777777778,0.555555555555556,0.05,-2.5,NA,1,36,"22-23"
"TSUCAN","1",0.398148148148148,0.0694444444444444,0.532407407407407,0.0619469026548673,-4.64285714285714,1.57359158493889,5,216,"22-23"
"TSUCAN","2",0.282608695652174,0.0869565217391304,0.630434782608696,0.172413793103448,-9.05,7.24357953255464,1,92,"22-23"
