"spp","canopy","a.mu","a.sd","a.05","a.50","a.95","b.mu","b.sd","b.05","b.50","b.95","c.mu","c.sd","c.05","c.50","c.95"
"ACERUB",1,4.2373778690084,NA,4.2373778690084,4.2373778690084,4.2373778690084,3.5126683101073,NA,3.5126683101073,3.5126683101073,3.5126683101073,0.834718590957295,NA,0.834718590957295,0.834718590957295,0.834718590957295
"ACERUB",2,4.41301703904197,1.20266520327376,3.24190821551877,4.14711959323011,5.99279299622732,1.76802240364546,0.208133713530253,1.44931449776123,1.76379246903815,2.07883011894288,0.934227788962825,0.0186773444909435,0.904060971321509,0.935735367395805,0.96290259119582
"BETSP",1,11.5385840326552,1.77845019400127,8.78653966378795,11.2878577217492,14.6860886051764,2.38757954517226,0.570859674486328,1.62809261154528,2.31879511971495,3.28820275290354,0.9377346610202,0.0268688242930748,0.888036256460691,0.940928035835386,0.971523310872484
"BETSP",2,81.0676476047538,97.9943276542279,4.15796405550179,52.6854070455427,229.353030330522,3.08061040350882,4.79196917521748,0.98926541370845,2.6129175583759,4.00666821015749,0.966173339334364,0.128383306498547,0.856587618876661,0.995074091843174,0.998053286099879
"PINSTR",1,2.86432772905145,0.55495125092369,2.15963217466513,2.75573252233544,3.927210468557,84.0492154478878,322.609850515003,0.428671846827506,14.7368284552879,150.648922766275,0.617569359646865,0.154963993036035,0.413636621306397,0.597417943929196,0.86707112280205
"PINSTR",2,11.3356880301441,2.67326573451864,7.34969779504549,11.2882810172653,15.8656466495834,2.61379212646476,0.393018930825005,2.11702399363696,2.60113379227468,3.34136104811622,0.954273577288095,0.0202674878445789,0.928140734860405,0.958230914110159,0.979875868953825
"QUERUB",1,1.94244836372714,0.91471262484957,0.838712627872725,1.85414510321426,3.25465013229848,-2.21751075889562,1.8904432532411,-4.7263894841341,-2.29277548317246,0.288238023894649,0.84277380267613,0.0872254405764081,0.73682506714641,0.839325054454811,0.955968924947396
"QUERUB",2,10.0824529132323,14.5020199133517,2.24320997585666,3.16045142406386,27.6124979354436,-214.245265485852,1891.41756802339,-1736.7039595798,-720.859018227468,2017.47268244635,0.431482457497994,0.381071570608128,0.175247778591239,0.283829710532447,0.894430982156516
"TSUCAN",1,14.6256721013403,31.9528220844902,2.40679182769286,8.23948177587217,32.802557408695,3.34633861059796,3.74995024850143,1.65079953392432,2.61945360727079,4.99219255041402,0.943381199310113,0.121077554684278,0.550708854020639,0.976437622392156,0.993896951872363
"TSUCAN",2,37.4269472015602,418.366216489546,-196.909710168117,-1.8414315197304,308.231322616701,3.5286432771279,2.60369878861389,1.68034079043227,2.44099046832256,7.52715234067339,0.991074515604706,0.00731475723699892,0.976973777738956,0.994369301874668,0.99786880542161
