"spp","canopy","a.mu","a.sd","a.05","a.50","a.95","b.mu","b.sd","b.05","b.50","b.95","c.mu","c.sd","c.05","c.50","c.95"
"ACERUB",1,3.03574885789565,0.759841469776636,2.06749874774758,3.04517910507581,3.90167609195312,5.91091739137931,3.89092993865717,-0.0138939625325747,6.28761775110165,9.52683650784949,5.0952752702519,1.70330270133704,3.5990931699395,4.49684805858055,7.88301634665213
"ACERUB",2,5.05440669285088,4.01757320682236,1.98536040166137,3.99610849615804,13.4710977863914,12.1668776649492,10.7106293542399,1.86169414232312,10.5460339515404,33.1540983620771,7.10523470295762,4.98495307038064,3.27450165326308,5.72971917334271,15.0128337741319
"BETSP",1,15.0016295038671,10.0441119062076,4.4347562159468,12.3385596361942,31.7161459091355,35.5606580740138,44.4299238264427,4.85448693709512,21.4721605784639,137.975744678408,15.4850074322334,17.115820817409,1.43154508935127,11.3649376402584,54.9679032234192
"BETSP",2,30.5418233113797,33.9961455418638,7.45496171514724,24.3780873309804,61.5543303346269,70.9070690957142,88.5958517206425,4.32758736871999,48.5949737367609,178.920491642683,32.8058687001055,32.1722610848467,2.90569271190302,25.3292891341159,113.380269376448
"PINSTR",1,3.09960539034673,1.07579087792616,2.04702465556181,2.70476262361601,5.18047290869203,4.05493843324493,29.2015468018652,4.8929074344812,6.35926213767833,10.3578693573646,-0.487652020214605,24.280527520226,0.302665336696612,1.52351098182518,4.57671124982072
"PINSTR",2,9.60265156990219,5.53670171451642,2.63177673245707,9.71699014613892,15.364212310309,22.5632377001347,16.2449764327042,5.16142469317125,20.4740519426323,45.1881146694433,9.33828473953341,7.73171635482549,1.47550020076809,7.56234709947118,24.8536731948011
"QUERUB",1,2.70739292798023,0.461032396861936,2.13663679097511,2.71654066672674,3.25536334539992,0.400926122094509,11.3379500988206,-15.1214404925225,6.30630860243725,9.54155993746872,10.5377244197468,14.0597255148095,0.536454154299357,2.79634951832573,30.8219455967761
"QUERUB",2,20.2940785288616,31.9579996685769,7.68578351704842,14.0579916188261,47.6032734737061,39.4238253768386,17.1721613458827,20.2640205557549,39.6913751747489,62.1753271460523,14.393134694784,5.37133013228687,7.92318490843265,13.8972507174585,21.7918240754056
"TSUCAN",1,8.49393599138797,14.4117079648502,2.01019975204812,4.21025399880247,28.1357006979021,46.0005382341167,64.784831217797,4.88122840772102,22.8543157099709,158.970646856947,21.8257997470309,20.3411452609124,1.9219888314657,17.4214524087473,69.7156035620692
"TSUCAN",2,9.04638388414069,10.3272685735037,2.90908414731905,4.98485942216778,27.4215166224877,40.5726630461285,55.6323209333969,5.16324514258075,13.2150471451257,161.571665707149,18.468188880422,19.6530876272001,2.8975236869395,8.43399131885593,58.640749125172
