"","term","estimate","std.error","statistic","p.value","spp","canopy","n"
"1","(Intercept)",0.378551631881783,0.132828579583655,2.84992607064184,0.00437293921534939,1,1,3055
"2","HT1",0.12777550377291,0.0203910895163943,6.26624210884755,3.69865127484532e-10,1,1,3055
"3","(Intercept)",1.2326925964215,0.0884615855856264,13.9347784494357,3.89406860840276e-44,1,2,2376
"4","HT1",0.0210756919102524,0.00919751312495791,2.29145548627297,0.0219370835823445,1,2,2376
"5","(Intercept)",0.397423317352378,0.18701268926787,2.12511417758997,0.0335770868495092,2,1,222
"6","HT1",0.0290268933518201,0.0156925543376878,1.84972393449727,0.0643533490045835,2,1,222
"7","(Intercept)",1.52723734145249,0.182061773143275,8.38856677645677,4.9210451990504e-17,2,2,411
"8","HT1",0.0135485981529881,0.00714396217067256,1.89651034388282,0.0578925935121016,2,2,411
"9","(Intercept)",1.69935657205274,0.300826951198724,5.6489505520739,1.61430277521006e-08,3,1,181
"10","HT1",0.0120538851652088,0.0224248724280065,0.537523020650708,0.59090638775707,3,1,181
"11","(Intercept)",1.79057497445485,0.326443151292501,5.48510504008231,4.13223807400493e-08,3,2,192
"12","HT1",0.017742612585615,0.0297069315518855,0.597254972450659,0.550337162001029,3,2,192
"13","(Intercept)",-0.826539662733353,0.349524293585891,-2.3647559780569,0.0180419543356016,4,1,391
"14","HT1",0.122005531837884,0.0253708626799552,4.80888385140634,1.51775356754185e-06,4,1,391
"15","(Intercept)",-0.626897195216809,0.578069501325498,-1.08446682237923,0.27815786969415,4,2,127
"16","HT1",0.116143964323878,0.0404213879256483,2.87332944968428,0.00406170315051031,4,2,127
"17","(Intercept)",0.617832777633219,0.168498366106277,3.66669892361764,0.00024570179762884,5,1,301
"18","HT1",0.0258285914448934,0.00879308518859295,2.93737532287305,0.00331003236711432,5,1,301
"19","(Intercept)",0.343567580482622,0.172597283447324,1.99057351089466,0.0465277948403835,5,2,298
"20","HT1",0.0494453792971771,0.0131368566351614,3.76386685722324,0.000167305985433121,5,2,298
