Unique_Tag,Tree,Distance,Transect,Tag,Species_23,X,Y,ST_21,HT_21,Notes_21,Sumbission.Id_2021,ST_22,HT_22,Notes_2022,Quad_Notes_2022,Submission.Id_2023,Status_2022,Height_2022,Notes_22,ST_23,HT_23,Notes_2023
080956_0_2.5,80956,2,0,5,ACERUB,71,45,A,6,NA,7cebe85e-a02a-454f-a021-c54064ef1452,A,0,NA,663f40c5-c647-45cc-9331-0e5b1523acc6,3db44468-af20-440c-b690-6cf9ab529085,A,0,NA,A,13,NA
290171_0_6.11,290171,6,0,11,AMELAE,10,89,A,6,Amelae,67559495-e6e4-4563-adef-f65366859667,A,0,NA,00136caa-c287-4886-b682-9db5e645ab73,44f3d003-973d-47b1-9d29-32c15a2499e4,A,0,NA,D,NA,NA
040979_120_6.27,40979,6,120,27,TSUCAN,5,42,A,7,NA,5112d9de-3c7b-467e-a1bf-cd8ded8c7170,A,0,NA,21dd2782-d0ef-4832-a29d-c22fb448da45,452b5fd3-2436-407d-8d0e-b95a22a586c8,A,0,NA,A,9,NA
070864_120_2.79,70864,2,120,79,ACERUB,78,78,A,4,NA,a0d73a5a-e976-4be3-b77e-8aa7df43db47,A,0.5,NA,31d53d2d-0a34-4881-a449-2541f03fc843,442466b7-44bb-41cb-865e-452e7d4222c7,A,0.5,NA,A,5,NA
022156_120_2.41,22156,2,120,41,ACERUB,75,80,A,5,NA,2478498e-c86d-4212-8d47-cbf7a73310ce,A,0.5,NA,8a76e6b0-ca16-4b7a-8aa5-0a2c1298ae86,13fb2427-8365-4a7c-85e5-cda2fb5556dd,A,0.5,NA,D,NA,NA
072007_120_2.3,72007,2,120,3,ACERUB,65,40,A,5,NA,a61b37ea-c5c6-464b-9278-8f838f51f0c8,A,0.5,NA,42c53222-121c-4117-a0cb-ddd76905e6ac,bfb350ad-6e87-467a-bc96-36586797607e,A,0.5,NA,A,7,NA
072196_240_6.40,72196,6,240,40,ACERUB,40,47,A,5,NA,62054420-f656-411a-83b7-a70e2f37e622,A,0.5,NA,26bd2377-27a2-4f7f-a951-0c38f0229ba5,42cce858-2da5-473b-b74c-1862d48c7a2f,A,0.5,NA,A,5,NA
050958_240_2.47,50958,2,240,47,ACERUB,27,21,A,6,NA,f4aed855-6bca-4873-bd81-f430cb277c35,A,0.5,NA,5644f512-1eb0-4c80-902c-8b8a4ce5b80f,c2c0c053-051e-411b-837a-2f26edb6354f,A,0.5,NA,A,10,NA
061110_120_6.99,61110,6,120,99,ACERUB,2,12,A,4,NA,0992e00d-fdba-46df-bb9b-fe1822c5936f,A,0.5,NA,a463638e-5ee6-48c1-95b9-78d17feb2e12,1104023f-5540-43b2-8915-f4d3e60d63be,A,0.5,NA,A,8,NA
051094_0_2.33,51094,2,0,33,TSUCAN,54,81,A,4,NA,13523dcd-1bc9-456b-bebe-3baf6acfd919,A,1.5,Broken,4fe1c4c3-da4f-437a-9e7d-e2443254922f,903cb34f-3a4a-4b35-83bf-533c36bbd1c5,A,1.5,Broken,A,4.5,NA
051094_0_2.13,51094,2,0,13,TSUCAN,36,89,A,1,NA,13523dcd-1bc9-456b-bebe-3baf6acfd919,A,1.5,"Broken, x = 37, y = 81",4fe1c4c3-da4f-437a-9e7d-e2443254922f,903cb34f-3a4a-4b35-83bf-533c36bbd1c5,A,1.5,"Broken, x = 37, y = 81",D,NA,NA
072007_240_6.13,72007,6,240,13,ACERUB,22,60,A,10,NA,396b5a53-d3f4-4907-9d3d-17fb3e68ac52,A,1.5,NA,66d05ed2-ae41-4877-8080-f21fc42e9f1f,e5f0996c-3762-429b-813c-465cf6535c13,A,1.5,NA,D,NA,NA
051094_0_2.1,51094,2,0,1,TSUCAN,20,74,A,3,NA,13523dcd-1bc9-456b-bebe-3baf6acfd919,A,1.5,TSUCAN,4fe1c4c3-da4f-437a-9e7d-e2443254922f,903cb34f-3a4a-4b35-83bf-533c36bbd1c5,A,1.5,TSUCAN,A,2.5,NA
051094_0_2.8,51094,2,0,8,TSUCAN,99,90,A,1,NA,13523dcd-1bc9-456b-bebe-3baf6acfd919,A,2,NA,4fe1c4c3-da4f-437a-9e7d-e2443254922f,903cb34f-3a4a-4b35-83bf-533c36bbd1c5,A,2,NA,A,4,NA
080956_120_2.103,80956,2,120,103,BETSP,90,72,P,NA,NA,NA,A,2,NA,30c878a4-15c0-42bb-9a4c-dd3af620e9bc,ec3d9e1a-014d-435f-a0b4-a08d9a9243ea,A,2,NA,CFS,NA,NA
241665_120_2.41,241665,2,120,41,BETSP,71,71,A,2,No tag,0c9bb0ab-62c3-4c5b-a79d-04f51b489fa8,A,2,NA,188164fe-cb82-4ef3-aef0-35cd8f5dae14,25193b41-13ed-4d55-b110-7bbeb4d150b7,A,2,NA,CFS,NA,NA
281194_120_2.76,281194,2,120,76,TSUCAN,42,72,A,1,NA,2c55d308-7016-47f3-89fb-ce544bf0693c,A,2,NA,af03158d-edb8-4d20-96c2-9d61ec678943,ea0c1aca-c11f-4ac7-b52b-235539c85502,A,2,NA,CFS,NA,NA
260982_0_2.97,260982,2,0,97,ACERUB,20,69,A,15,Clipped no leaves,01f89dd4-b6c2-4935-9142-e5ca6eb50b90,A,2,Broken but alive,c0274245-331b-4003-bf7a-5501e51cf111,632e70ae-9d21-4a32-85be-d671e1e2f8e1,A,2,Broken but alive,CFS,NA,NA
321916_0_6.101,321916,6,0,101,BETSP,20,29,P,NA,NA,NA,A,2,NA,84a51679-a320-4100-95e8-b76857dcf8fe,648a0966-d9ce-4bb2-b420-5fabaef992d3,A,2,NA,A,5,NA
101052_120_2.28,101052,2,120,28,TSUCAN,95,8,A,2,NA,7c02494d-8de9-4d40-8903-9a81e7ecc225,A,2.5,NA,05066295-45e7-428a-99e3-5372ffe2fcb6,8f064888-c88c-470e-ac2b-768489cf93af,A,2.5,NA,CFS,NA,NA
351355_120_2.38,351355,2,120,38,QUERUB,90,35,A,20,NA,fbec01df-1e20-4d2c-a322-d350b4cc2e1d,A,2.5,NA,b2f041d6-782a-4e05-af0a-fe43ba9f9abf,441aa5d1-f138-47d8-8392-66bac91b4f1c,A,2.5,NA,A,22.5,NA
141141_120_2.101,141141,2,120,101,BETSP,76,69,P,NA,NA,NA,A,2.5,NA,4141e7fc-4311-4fa4-95f6-bdb4ad1eb738,fa0df0ee-0cf4-42c1-901e-b38664cf99d3,A,2.5,NA,A,3,NA
171421_240_2.105,171421,2,240,105,BETSP,70,90,P,NA,NA,NA,A,2.5,NA,362a7a1c-5e16-4b2b-905f-073bb1d36acb,7af15e6b-3ac8-4b7c-91f9-5ea1208014ef,A,2.5,NA,CFS,NA,NA
140286_120_6.101,140286,6,120,101,TSUCAN,70,20,P,NA,NA,NA,A,2.5,NA,18348cc4-a94a-47b9-9c6e-deb67e1c35f1,35dd16f5-989b-4a0b-8e87-f6a404e6d184,A,2.5,NA,A,3.5,NA
070230_0_6.99,70230,6,0,99,BETSP,64,22,A,2,NA,b0987449-750b-49b3-8124-7d84b81cd894,A,2.5,No tag on moss,3bdf49f4-df7f-4f54-8585-b798a4bdd41a,a714e8d8-9da5-4470-8cd7-23084e22c566,A,2.5,No tag on moss,CFS,NA,NA
340694_120_6.50,340694,6,120,50,QUERUB,64,34,A,19,NA,db442f4f-9564-4216-9eb1-f3b550c51c78,A,2.5,NA,f4d881a5-91ca-4744-b254-d66a7c0f0267,1dc6dce4-2e21-480a-af22-533a4f642971,A,2.5,NA,A,31,NA
091128_240_2.105,91128,2,240,105,TSUCAN,50,63,P,NA,NA,NA,A,2.5,No tag,b502635d-8a39-4284-8b7a-e36813fcbb23,9281609b-2c2f-458f-8155-0486c4353528,A,2.5,No tag,A,3.5,NA
